"","Dt_Customer","TotalSpend","Income"
"1",2012-07-30,418,55158
"2",2012-07-31,939,52203
"3",2012-08-01,902.25,42844.75
"4",2012-08-02,584,45195
"5",2012-08-03,819.4,58556.2
"6",2012-08-04,748,66931.75
"7",2012-08-05,77,36778
"8",2012-08-06,148.333333333333,33425.3333333333
"9",2012-08-07,580.75,45646
"10",2012-08-08,860.714285714286,52136.2857142857
"11",2012-08-09,1734,70784.5
"12",2012-08-10,1538,68655
"13",2012-08-11,1355.33333333333,67459
"14",2012-08-13,1223,54599.5
"15",2012-08-14,252,41254
"16",2012-08-15,890,49269
"17",2012-08-16,726,46180.6666666667
"18",2012-08-17,583.75,45462
"19",2012-08-18,486.6,55101.8
"20",2012-08-19,232.5,36337.5
"21",2012-08-20,1085,56889.6666666667
"22",2012-08-21,871,49802.5
"23",2012-08-22,652.25,50071.5
"24",2012-08-23,1374,55951
"25",2012-08-24,930.5,60731
"26",2012-08-25,924,66218.6666666667
"27",2012-08-26,711,46941.6666666667
"28",2012-08-27,656.333333333333,42896.6666666667
"29",2012-08-28,889.5,46783
"30",2012-08-29,554.125,45087.125
"31",2012-08-30,597.5,44591.25
"32",2012-08-31,795.166666666667,45397
"33",2012-09-01,1078,94871
"34",2012-09-02,1106,63943
"35",2012-09-04,1003,52284
"36",2012-09-05,1364,67430
"37",2012-09-06,102,32351.75
"38",2012-09-07,587,48774.3333333333
"39",2012-09-08,621.833333333333,47626.3333333333
"40",2012-09-09,410.666666666667,36316
"41",2012-09-10,778.75,56341.75
"42",2012-09-11,1196.33333333333,59708.6666666667
"43",2012-09-12,884.909090909091,59792.8181818182
"44",2012-09-15,1122.5,66698
"45",2012-09-17,1279.66666666667,55445.6666666667
"46",2012-09-18,405.5,37224.5
"47",2012-09-19,25,42033
"48",2012-09-20,629,48144.5
"49",2012-09-21,1149.5,65639.75
"50",2012-09-22,930.333333333333,50693.6666666667
"51",2012-09-23,1550.66666666667,82935.6666666667
"52",2012-09-24,1442.5,66165
"53",2012-09-25,998,61715.5
"54",2012-09-26,1174.66666666667,69111.3333333333
"55",2012-09-27,836.5,65396.5
"56",2012-09-28,1459.25,71893
"57",2012-09-29,1699,71773.5
"58",2012-09-30,1727,70503
"59",2012-10-01,993.6,55136.8
"60",2012-10-02,103,9722
"61",2012-10-04,419.333333333333,48458.5
"62",2012-10-05,746.5,55943.6666666667
"63",2012-10-06,830,46011.5
"64",2012-10-07,656,60208
"65",2012-10-09,1021,61010
"66",2012-10-10,195,34319.2
"67",2012-10-11,1701,60896
"68",2012-10-12,909,54821.6
"69",2012-10-13,215.5,34487.6666666667
"70",2012-10-14,1360.4,68307.8
"71",2012-10-15,595.75,49375.5
"72",2012-10-16,839,58612.5
"73",2012-10-17,279.5,40491
"74",2012-10-18,435.4,46184.6
"75",2012-10-19,2077,92859
"76",2012-10-20,1087.5,75421.5
"77",2012-10-21,903,55250
"78",2012-10-22,253.333333333333,38501.6666666667
"79",2012-10-23,800.5,61085.5
"80",2012-10-24,1930,78427
"81",2012-10-25,576,51369
"82",2012-10-26,498,45502
"83",2012-10-27,900,64242.5
"84",2012-10-28,191.75,36941.75
"85",2012-10-29,690.666666666667,47773.7777777778
